catalog_number,copy_number,gri_has_copy,price_recorded,owner_code,owner_location
D-2026,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2200,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2145,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2147,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2155,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2132,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2094,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2314,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2314,,,*,BSS,"Bayerische Staatsgemldesammlung, Munich, Germany"
D-2277,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2340,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2356,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2369,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2375,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2410,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2384,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2396,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2396,,,*,BSS,"Bayerische Staatsgemldesammlung, Munich, Germany"
D-2442,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2442,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2442,,,*,BSS,"Bayerische Staatsgemldesammlung, Munich, Germany"
D-2455,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2455,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2455,,,*,BSS,"Bayerische Staatsgemldesammlung, Munich, Germany"
D-2489,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2659,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2527,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2520,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2543,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2543,,,*,BSS,"Bayerische Staatsgemldesammlung, Munich, Germany"
D-2597,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2597,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2597,,,*,BSS,"Bayerische Staatsgemldesammlung, Munich, Germany"
D-2565,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
