catalog_number,copy_number,gri_has_copy,price_recorded,owner_code,owner_location
D-608,,,,SMBS,"Skulpturensammlung und Museum fr byzantinische Kunst der Staatlichen Museen, Berlin, Germany"
D-608,,,*,SKD,"Kunstbibliothek, Staatliche Kunstsammlungen, Dresden, Germany"
D-608,,Yes,,UBH,"Universittsbibliothek, Heidelberg, Germany"
D-608,,,*,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-360,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-360,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-360,,,*,BSS,"Bayerische Staatsgemldesammlung, Munich, Germany"
D-360,,,*,SKD,"Kunstbibliothek, Staatliche Kunstsammlungen, Dresden, Germany"
D-360,,,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-564,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-564,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-564,,,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-517,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-517,,,*,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-802,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-802,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-802,,,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-909,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-909,,,*,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-909,,Yes,,UBH,"Universittsbibliothek, Heidelberg, Germany"
D-909,,,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-879,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-879,,,*,ML,"Museum der Bildenden Knste, Leipzig, Germany"
D-879,,,*,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-831,,,*,ZIKG,"Zentralinstitut fr Kunstgeschichte, Munich, Germany"
D-831,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-831,,,*,BSS,"Bayerische Staatsgemldesammlung, Munich, Germany"
D-831,,,*,BNMM,"Bayerisches Nationalmuseum, Munich, Germany"
D-831,,,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-870,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-870,,Yes,,UBH,"Universittsbibliothek, Heidelberg, Germany"
D-870,,,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-813,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-813,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-813,,,*,BSS,"Bayerische Staatsgemldesammlung, Munich, Germany"
D-813,,,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-643,,,*,SKD,"Kunstbibliothek, Staatliche Kunstsammlungen, Dresden, Germany"
D-643,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-643,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-643,,,*,BNMM,"Bayerisches Nationalmuseum, Munich, Germany"
D-643,,,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-897,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-897,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-897,,,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
